# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
  1.0520E+02 -1.9160E-19  3.0760E-01  1.6496E-01
  1.0588E+02 -2.5802E-19  3.1034E-01  1.6642E-01
  1.0656E+02 -6.8607E-20  3.0742E-01  1.6486E-01
  1.0724E+02 -5.3919E-19  2.9899E-01  1.6034E-01
  1.0792E+02 -7.6168E-20  2.8767E-01  1.5427E-01
  1.0860E+02 -3.2366E-19  2.7874E-01  1.4948E-01
  1.0928E+02 -3.8990E-19  2.7624E-01  1.4814E-01
  1.0995E+02  9.0124E-20  2.8003E-01  1.5017E-01
  1.1063E+02 -2.1354E-19  2.8612E-01  1.5343E-01
  1.1131E+02 -1.8840E-19  2.9041E-01  1.5574E-01
  1.1199E+02 -2.2771E-19  2.8958E-01  1.5529E-01
  1.1267E+02 -2.3130E-19  2.8173E-01  1.5109E-01
  1.1335E+02 -3.5694E-19  2.6905E-01  1.4428E-01
  1.1403E+02 -2.8731E-19  2.5754E-01  1.3811E-01
  1.1471E+02 -2.3821E-19  2.5357E-01  1.3598E-01
  1.1538E+02  3.1364E-20  2.6003E-01  1.3944E-01
  1.1606E+02 -2.4561E-19  2.7473E-01  1.4733E-01
  1.1674E+02 -1.6985E-19  2.9270E-01  1.5697E-01
  1.1742E+02  5.2268E-21  3.0635E-01  1.6429E-01
  1.1810E+02 -1.5423E-20  3.1175E-01  1.6718E-01
  1.1878E+02 -1.6362E-19  3.0903E-01  1.6572E-01
  1.1946E+02  1.1487E-19  3.0329E-01  1.6264E-01
  1.2014E+02 -5.8799E-20  2.9938E-01  1.6055E-01
  1.2081E+02  3.3504E-20  2.9980E-01  1.6077E-01
  1.2149E+02  1.9959E-19  3.0456E-01  1.6333E-01
  1.2217E+02  2.6320E-19  3.0942E-01  1.6593E-01
  1.2285E+02  3.8547E-19  3.0937E-01  1.6590E-01
  1.2353E+02  1.6770E-19  3.0009E-01  1.6093E-01
  1.2421E+02  4.3111E-19  2.8237E-01  1.5143E-01
  1.2489E+02 -3.6995E-20  2.6083E-01  1.3988E-01
  1.2557E+02 -1.7185E-19  2.4015E-01  1.2879E-01
  1.2624E+02 -2.7440E-20  2.2489E-01  1.2060E-01
  1.2692E+02  9.6248E-20  2.1763E-01  1.1671E-01
  1.2760E+02  4.3198E-20  2.1990E-01  1.1793E-01
  1.2828E+02 -4.2336E-20  2.3153E-01  1.2416E-01
  1.2896E+02  4.9505E-20  2.4987E-01  1.3400E-01
  1.2964E+02 -7.9620E-20  2.7053E-01  1.4507E-01


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02  6.3187E-24  4.4262E-06
  1.0000E-01 -2.2843E-23  2.5416E-05
